title,description,prep_time,cook_time,servings,difficulty,protein_type,ingredients,instructions,tags
Spaghetti Carbonara,"A classic Roman pasta dish with a creamy egg and cheese sauce.",10 min,15 min,4,Medium,Pork,"1 lb spaghetti|4 oz pancetta, diced|4 large egg yolks|1 cup grated Pecorino Romano cheese|2 cloves garlic, minced|Black pepper, freshly ground|Salt to taste","1. Cook spaghetti according to package directions. Reserve 1 cup of pasta water.|2. While pasta cooks, sauté pancetta in a large skillet over medium heat until crisp. Add garlic and cook for 1 more minute.|3. In a bowl, whisk together egg yolks, Pecorino Romano, and a generous amount of black pepper.|4. Drain the pasta and immediately add it to the skillet with the pancetta. Turn off the heat.|5. Slowly pour the egg mixture into the pasta, tossing quickly to combine. The heat from the pasta will cook the eggs. Add reserved pasta water a little at a time to create a creamy sauce.|6. Serve immediately with more cheese and pepper.","italian,pasta,weeknight,classic"
Classic Beef Lasagna,"A hearty,layered pasta dish with rich meat sauce, ricotta, and mozzarella cheese.",30 min,60 min,8,Medium,Beef,"1 lb ground beef|1 large onion, chopped|2 cloves garlic, minced|1 (28 oz) can crushed tomatoes|2 (6 oz) cans tomato paste|1/2 cup water|2 tsp sugar|1.5 tsp dried basil|1 tsp salt|1/2 tsp fennel seeds|1/4 tsp black pepper|12 lasagna noodles|16 oz ricotta cheese|1 egg|1/2 cup grated Parmesan cheese|1 lb mozzarella cheese, sliced","1. In a large skillet, cook ground beef and onion until browned. Drain fat. Stir in garlic, crushed tomatoes, tomato paste, water, and seasonings. Simmer for 1 hour.|2. Cook lasagna noodles according to package directions. Drain.|3. In a bowl, combine ricotta, egg, and Parmesan cheese.|4. Preheat oven to 375°F (190°C).|5. To assemble, spread 1.5 cups of meat sauce in the bottom of a 9x13 inch baking dish. Arrange noodles lengthwise over sauce. Spread with one half of the ricotta cheese mixture. Top with a layer of mozzarella slices. Repeat layers, and top with remaining mozzarella and Parmesan.|6. Bake for 30-40 minutes until bubbly. Let stand for 15 minutes before serving.","italian,casserole,family meal,comfort food"
Chicken Teriyaki Stir-Fry,"A quick and flavorful Japanese-inspired stir-fry with tender chicken and crisp vegetables.",15 min,15 min,4,Easy,Chicken,"1 lb boneless, skinless chicken breast, cut into chunks|1/2 cup soy sauce|1/4 cup honey|1 tbsp rice vinegar|1 tsp grated ginger|2 cloves garlic, minced|1 tbsp cornstarch|2 tbsp water|1 tbsp sesame oil|1 head broccoli, cut into florets|1 red bell pepper, sliced|4 green onions, chopped|Cooked rice for serving","1. In a bowl, whisk together soy sauce, honey, rice vinegar, ginger, and garlic.|2. In a separate small bowl, mix cornstarch and water to create a slurry.|3. Heat sesame oil in a large skillet or wok over medium-high heat. Add chicken and cook until browned and cooked through.|4. Add broccoli and bell pepper to the skillet and stir-fry for 3-4 minutes until tender-crisp.|5. Pour the soy sauce mixture into the skillet and bring to a simmer. Stir in the cornstarch slurry and cook until the sauce thickens.|6. Garnish with green onions and serve over rice.","asian,japanese,stir-fry,quick,weeknight"
Simple Lemon Herb Baked Salmon,"Flaky salmon baked with lemon and herbs for a healthy and delicious meal.",5 min,15 min,2,Easy,Fish,"2 (6 oz) salmon fillets|1 tbsp olive oil|1 lemon, thinly sliced|2 sprigs fresh dill|2 sprigs fresh parsley|Salt and pepper to taste","1. Preheat oven to 400°F (200°C).|2. Place salmon fillets on a baking sheet lined with parchment paper.|3. Drizzle with olive oil and season with salt and pepper.|4. Top each fillet with lemon slices, dill, and parsley.|5. Bake for 12-15 minutes, or until the salmon is cooked through and flakes easily with a fork.|6. Serve immediately.","healthy,seafood,quick,gluten-free"
Hearty Vegan Lentil Soup,"A comforting and nutritious soup packed with lentils, vegetables, and savory herbs.",15 min,45 min,6,Easy,Vegan,"1 tbsp olive oil|1 large onion, chopped|2 carrots, diced|2 celery stalks, diced|3 cloves garlic, minced|1 cup brown or green lentils, rinsed|8 cups vegetable broth|1 (14.5 oz) can diced tomatoes, undrained|1 tsp dried thyme|1 bay leaf|Salt and pepper to taste|1 cup chopped spinach","1. Heat olive oil in a large pot or Dutch oven over medium heat. Add onion, carrots, and celery and cook until softened, about 5-7 minutes.|2. Stir in garlic and cook for another minute until fragrant.|3. Add lentils, vegetable broth, diced tomatoes, thyme, and bay leaf. Bring to a boil.|4. Reduce heat, cover, and simmer for 30-40 minutes, or until lentils are tender.|5. Remove the bay leaf. Stir in the spinach and cook until wilted.|6. Season with salt and pepper to taste before serving.","vegan,soup,healthy,one-pot,comfort food"
Classic American Cheeseburger,"A juicy beef patty grilled to perfection, topped with cheese, and served on a toasted bun.",10 min,10 min,4,Easy,Beef,"1.5 lbs ground chuck (80/20)|1 tsp salt|1/2 tsp black pepper|4 slices cheddar cheese|4 hamburger buns|Lettuce, tomato, onion slices for topping|Ketchup, mustard, mayonnaise for topping","1. Preheat grill to medium-high heat.|2. Gently form the ground chuck into 4 equal-sized patties, about 3/4 inch thick. Don't overwork the meat.|3. Season both sides of the patties with salt and pepper.|4. Grill patties for 4-5 minutes per side for medium, or until cooked to your desired doneness.|5. During the last minute of cooking, place a slice of cheese on each patty to melt.|6. Lightly toast the hamburger buns on the grill.|7. Assemble the burgers with your favorite toppings and condiments.","american,grill,burger,summer"
Chicken Alfredo,"Creamy and rich pasta dish with grilled chicken and a Parmesan cheese sauce.",15 min,20 min,4,Medium,Chicken,"1 lb fettuccine|1.5 lbs boneless, skinless chicken breast, cut into strips|2 tbsp olive oil|Salt and pepper to taste|1/2 cup butter|2 cloves garlic, minced|2 cups heavy cream|1.5 cups grated Parmesan cheese|Chopped parsley for garnish","1. Cook fettuccine according to package directions. Drain and set aside.|2. Season chicken strips with salt and pepper. Heat olive oil in a large skillet over medium-high heat. Cook chicken until golden brown and cooked through. Remove from skillet.|3. In the same skillet, melt butter over medium heat. Add garlic and cook until fragrant, about 1 minute.|4. Stir in heavy cream and bring to a simmer. Cook for 3-5 minutes until it starts to thicken.|5. Reduce heat to low and whisk in Parmesan cheese until the sauce is smooth. Season with salt and pepper.|6. Add the cooked fettuccine and chicken to the skillet, tossing to coat everything in the sauce.|7. Garnish with fresh parsley and serve immediately.","italian,pasta,comfort food,chicken"
Pork Carnitas,"Slow-cooked, tender Mexican pork that is crisped up before serving. Perfect for tacos or burritos.",15 min,4 hours,8,Medium,Pork,"4 lbs pork shoulder (Boston butt), cut into 2-inch chunks|1 onion, quartered|4 cloves garlic, smashed|2 oranges, juiced|1 lime, juiced|1 tbsp salt|1 tsp cumin|1 tsp dried oregano|1/2 cup water","1. Preheat oven to 325°F (160°C).|2. Place pork chunks in a large Dutch oven. Add onion, garlic, orange juice, lime juice, salt, cumin, and oregano.|3. Pour in enough water to come about halfway up the pork.|4. Cover and bake for 3-4 hours, until the pork is fork-tender.|5. Remove the pork from the liquid and shred it with two forks.|6. To crisp the carnitas, heat a large skillet over high heat. Add a thin layer of shredded pork and a little of the cooking liquid. Cook until the liquid evaporates and the bottom of the pork is browned and crispy. Flip and briefly crisp the other side.|7. Serve warm in tacos, burritos, or on a platter.","mexican,pork,slow-cooker,tacos"
Vegetarian Black Bean Burgers,"Flavorful homemade veggie burgers that are hearty, healthy, and don't fall apart.",15 min,10 min,4,Easy,Vegetarian,"1 (15 oz) can black beans, rinsed and drained|1/2 green bell pepper, finely chopped|1/2 onion, finely chopped|2 cloves garlic, minced|1 egg|1 tbsp ketchup|1 tbsp Worcestershire sauce|1/2 cup bread crumbs|Salt and pepper to taste|4 hamburger buns|Toppings of your choice","1. In a large bowl, mash the black beans with a fork until they are thick and pasty.|2. Mix in the bell pepper, onion, garlic, egg, ketchup, and Worcestershire sauce.|3. Stir in the bread crumbs, salt, and pepper until the mixture is sticky and holds together.|4. Divide the mixture into 4 patties.|5. Heat a lightly oiled skillet over medium heat. Cook the patties for 5-6 minutes on each side, until heated through and browned on the outside.|6. Serve on buns with your favorite burger toppings.","vegetarian,burger,healthy,american"
Greek Salad,"A refreshing salad with crisp vegetables, feta cheese, and olives in a lemon-herb vinaigrette.",15 min,0 min,4,Easy,Vegetarian,"1 head romaine lettuce, chopped|1 cucumber, sliced|1 pint cherry tomatoes, halved|1 red onion, thinly sliced|1/2 cup Kalamata olives|4 oz feta cheese, crumbled|For the Vinaigrette: 1/4 cup olive oil, 2 tbsp red wine vinegar, 1 tbsp lemon juice, 1 tsp dried oregano, salt and pepper to taste","1. In a large salad bowl, combine the chopped lettuce, cucumber, cherry tomatoes, red onion, and Kalamata olives.|2. In a small bowl or jar, whisk together the olive oil, red wine vinegar, lemon juice, oregano, salt, and pepper to make the vinaigrette.|3. Pour the vinaigrette over the salad and toss gently to combine.|4. Sprinkle the crumbled feta cheese over the top.|5. Serve immediately.","mediterranean,salad,healthy,vegetarian,quick"
